"state_1","District","Region","Sector","State_Region","Meals_At_Home","ricepds_v","Wheatpds_q","chicken_q","pulsep_q","wheatos_q","No_of_Meals_per_day","total_consumption"
"MP","49",1,"URBAN",231,60,0,0,0,0,8,2,8
"MP","49",1,"URBAN",231,60,0,0,0,0,10,2,10
"MP","49",1,"URBAN",231,60,0,0,0,0,8.125,2,8.125
"MP","49",1,"URBAN",231,60,0,0,0,0,9.285714286,2,9.285714286
"MP","49",1,"URBAN",231,60,0,0,0,0,10,2,10
"MP","49",1,"URBAN",231,60,0,0,0,0,8,2,8
"MP","49",1,"URBAN",231,60,0,0,0,0,6,2,6
"MP","49",1,"URBAN",231,60,0,0,0,0,12.5,2,12.5
"MP","40",4,"URBAN",234,60,0,0,0,0,8.333333333,2,8.333333333
"MP","40",4,"URBAN",234,60,0,0,0,0,10,2,10
"MP","40",4,"URBAN",234,56,0,0,0,0,6.25,2,6.25
"MP","40",4,"URBAN",234,60,0,0,0,0,7.5,2,7.5
"MP","40",4,"URBAN",234,60,0,0,0,0,6,2,6
"MP","41",4,"URBAN",234,60,0,0,0,0,5,2,5
"MP","41",4,"URBAN",234,60,0,0,0,0,4,2,4
"MP","41",4,"URBAN",234,60,0,0,0,0,2.5,2,2.5
"MP","41",4,"URBAN",234,60,0,0,0,0,2,2,2
"MP","47",1,"URBAN",231,60,0,0,0,0,5,2,5
"MP","47",1,"URBAN",231,60,0,0,0,0,5,2,5
"MP","47",1,"URBAN",231,60,0,2.5,0,0,1.666666667,2,4.166666667
"MP","39",4,"URBAN",234,59.0935834576849,0,0,0,0,0,2,0
"MP","39",4,"URBAN",234,60,0,0,0,0,7,2,7
"MP","39",4,"URBAN",234,60,0,0,0,0,5,2,5
"MP","39",4,"URBAN",234,60,0,0,0,0,3,2,3
"MP","39",4,"URBAN",234,60,0,0,0,0,6,2,6
"MP","39",4,"URBAN",234,60,0,0,0,0,3.75,2,3.75
"MP","39",4,"URBAN",234,60,0,0,0,0,3.75,2,3.75
"MP","44",4,"URBAN",234,60,0,0,0,0,10,2,10
"MP","44",4,"URBAN",234,0,0,0,0,0,0,2,0
"MP","44",4,"URBAN",234,54,0,0,0,0,0,2,0
"MP","42",4,"URBAN",234,60,0,0,0,0,8,2,8
"MP","42",4,"URBAN",234,59.0935834576849,0,0,0,0,0,2,0
"MP","42",4,"URBAN",234,60,0,0,0,0,3.25,2,3.25
"MP","42",4,"URBAN",234,59.0935834576849,0,0,0,0,0,2,0
"MP","39",4,"URBAN",234,60,0,0,0,0,5,2,5
"MP","39",4,"URBAN",234,59.0935834576849,0,0,0,0,0,2,0
"MP","39",4,"URBAN",234,60,0,0,0,0,5,2,5
"MP","39",4,"URBAN",234,60,0,0,0,0,5,2,5
"MP","39",4,"URBAN",234,60,0,0,0,0,6.25,2,6.25
"MP","39",4,"URBAN",234,60,0,0,0,0,3.571428571,2,3.571428571
"MP","39",4,"URBAN",234,60,0,0,0,0,3,2,3
"MP","10",1,"URBAN",231,60,0,0,0,0,7.5,2,7.5
"MP","10",1,"URBAN",231,56,0,0,0,0,4,2,4
"MP","10",1,"URBAN",231,60,0,0,0,0,7,2,7
"MP","10",1,"URBAN",231,58,0,0,0,0,4.666666667,2,4.666666667
"MP","10",1,"URBAN",231,60,0,0,0,0,5,2,5
"MP","38",4,"URBAN",234,60,0,0,0,0.666666667,6.666666667,2,7.333333334
"MP","38",4,"URBAN",234,60,0,0,0,0,6,2,6
"MP","38",4,"URBAN",234,60,0,0,0,0,6.666666667,2,6.666666667
"MP","38",4,"URBAN",234,60,0,0,0,0,3.333333333,2,3.333333333
"MP","38",4,"URBAN",234,59.0935834576849,0,0,0,0,0,2,0
"MP","38",4,"URBAN",234,60,0,0,0,0,3,2,3
"MP","17",1,"URBAN",231,60,0,0,0,0,10,2,10
"MP","17",1,"URBAN",231,60,0,0,0,0,17.5,2,17.5
"MP","17",1,"URBAN",231,60,0,0,0,0,10,2,10
"MP","17",1,"URBAN",231,60,0,0,0,0,5.833333333,2,5.833333333
"MP","17",1,"URBAN",231,60,0,0,0,0,5.2,2,5.2
"MP","17",1,"URBAN",231,60,0,0,0,0,6.25,2,6.25
"MP","13",1,"URBAN",231,60,0,0,0,0,15,2,15
"MP","13",1,"URBAN",231,60,0,0,0,0,15,2,15
"MP","13",1,"URBAN",231,60,0,0,0,0,10,2,10
"MP","13",1,"URBAN",231,60,0,0,0,0,8,2,8
"MP","13",1,"URBAN",231,60,0,0,0,0,10,2,10
"MP","13",1,"URBAN",231,60,0,0,0,0,15,2,15
"MP","13",1,"URBAN",231,60,0,0,0,0,7.333333333,2,7.333333333
"MP","13",1,"URBAN",231,60,0,0,0,0,5.333333333,2,5.333333333
"MP","13",1,"URBAN",231,60,0,0,0,0,6.666666667,2,6.666666667
"MP","13",1,"URBAN",231,52,0,0,0,0,10,2,10
"MP","13",1,"URBAN",231,60,0,0,0,0,7.5,2,7.5
"MP","13",1,"URBAN",231,60,0,0,0,0,8.8,2,8.8
"MP","13",1,"URBAN",231,60,0,0,0,0,5.833333333,2,5.833333333
"MP","16",1,"URBAN",231,60,0,0,0,0,8.75,2,8.75
"MP","16",1,"URBAN",231,60,0,0,0,0,4.375,2,4.375
"MP","16",1,"URBAN",231,60,0,0,0,0,6,2,6
"MP","16",1,"URBAN",231,60,0,0,0,0,3.333333333,2,3.333333333
"MP","16",1,"URBAN",231,60,0,0,0,0,5.625,2,5.625
"MP","16",1,"URBAN",231,60,0,0,0,0,4,2,4
"MP","12",2,"URBAN",232,60,0,0,0,0,8.333333333,2,8.333333333
"MP","12",2,"URBAN",232,60,0,0,0,0,7.5,2,7.5
"MP","12",2,"URBAN",232,45,0,0,0,0,12,2,12
"MP","12",2,"URBAN",232,54,0,0,0,0,9.333333333,2,9.333333333
"MP","12",2,"URBAN",232,60,0,0,0,0,9,2,9
"MP","12",2,"URBAN",232,60,0,0,0,0,6,2,6
"MP","15",1,"URBAN",231,60,0,0,0,0,3,2,3
"MP","15",1,"URBAN",231,60,0,0,0,0,5,2,5
"MP","15",1,"URBAN",231,60,0,0,0,0,6,2,6
"MP","15",1,"URBAN",231,60,0,0,0,0,7.5,2,7.5
"MP","15",1,"URBAN",231,60,0,0,0,0,4,2,4
"MP","14",1,"URBAN",231,60,0,0,0,0,5,2,5
"MP","14",1,"URBAN",231,60,0,0,0,0,9,2,9
"MP","14",1,"URBAN",231,0,0,0,0,0,0,2,0
"MP","14",1,"URBAN",231,0,0,0,0,0,0,2,0
"MP","14",1,"URBAN",231,0,0,0,0,0,0,2,0
"MP","14",1,"URBAN",231,0,0,0,0,0,0,2,0
"MP","14",1,"URBAN",231,60,0,0,0,0,8.333333333,2,8.333333333
"MP","14",1,"URBAN",231,60,0,0,0,0,6,2,6
"MP","11",2,"URBAN",232,60,0,0,0,0,6.25,2,6.25
"MP","11",2,"URBAN",232,60,0,0,0,0,8.333333333,2,8.333333333
